,title,recommended_movies
5966,Monty Python Live at the Hollywood Bowl,"['And Now for Something Completely Different', 'Elstree Calling', 'Masked and Anonymous', ""That's Entertainment! III"", 'Calle 54']"
5967,Moonlighting,"['Honeysuckle Rose', 'Bruno', 'Third World Cop', 'Raining Stones', 'Charlie, the Lonesome Cougar']"
5968,Mother Lode,"['Allan Quatermain and the Lost City of Gold', 'The Treasure of the Sierra Madre', ""Mackenna's Gold"", 'Firewalker', 'White Fang']"
5969,The Night of the Shooting Stars,"[""Hangin' With The Homeboys"", 'Smiles of a Summer Night', 'Groove', 'Italian for Beginners', 'Fire on the Mountain']"
5970,The Night of Varennes,"['La Grande Bouffe', 'Port of Shadows', 'Start the Revolution Without Me', 'Und keiner weint mir nach', 'Diebinnen']"
5971,One from the Heart,"['Star!', 'Stateside', 'Moulin Rouge!', 'The Idolmaker', 'Pennies from Heaven']"
5972,Pandemonium,"['Striking Distance', 'Tenebre', 'The Hospital', 'The Toolbox Murders', 'The Pallbearer']"
5973,Paradise,"['The Garden of Allah', 'One Little Indian', 'Flight of the Phoenix', 'Young Black Stallion', 'The Flying Deuces']"
5974,Partners,"['Birthday Girl', 'Cruising', 'The Wrong Arm of the Law', 'Prime Suspect', 'Night Falls on Manhattan']"
5975,Godard's Passion,"['Salut cousin !', 'Norma Rae', 'Home Room', 'Sex Is Comedy', 'Ouch']"
5976,Permanent Vacation,"['A Rumor of Angels', ""What's Eating Gilbert Grape"", 'Long Live Death', 'Went to Coney Island on a Mission from God... Be Back by Five', 'This Is My Father']"
5977,Personal Best,"['Backbeat', 'The War Is Over', 'Inside Deep Throat', 'Epidemic', 'Boys Life 4: Four Play']"
5978,The Pirate Movie,"[""Say It Isn't So"", 'Love Finds Andy Hardy', 'Shout', 'Yentl', 'The Pirate']"
5979,Privates on Parade,"['How I Won the War', 'The Proprietor', 'Slaves of New York', 'Two Men Went To War', 'Und keiner weint mir nach']"
5980,Blind Chance,"['Indiscretion of an American Wife', 'Und keiner weint mir nach', 'Diebinnen', 'The Life of Oharu', 'Illusive Tracks']"
5981,Santa Claus Is a Stinker,"[""National Lampoon's Christmas Vacation"", 'The Santa Clause', 'How to Get Ahead in Advertising', 'P.S. Your Cat Is Dead!', 'Penitentiary II']"
5982,Q,"['Mystery of the Wax Museum', 'Hello, Dolly!', 'Commandments', 'Little Monsters', 'A Further Gesture']"
5983,Querelle,"['Raining Stones', 'Colonel Chabert', 'The Hanging Garden', 'Panic', 'Honeysuckle Rose']"
5984,Richard Pryor: Live on the Sunset Strip,"['Richard Pryor: Here and Now', 'Comedian', 'Margaret Cho: Notorious C.H.O.', ""Jerry Seinfeld: I'm Telling You for the Last Time"", 'Alfie']"
5985,Sunless,"['La Jetée', 'Last Year at Marienbad', 'Scratch', 'The Cabinet of Dr. Ramirez', 'Night and Fog']"
5986,Savannah Smiles,"['The Wrong Arm of the Law', 'Undertaking Betty', 'Fargo', 'Love In Bloom', 'Manny & Lo']"
5987,The Secret Policeman's Other Ball,"['Return to Paradise', 'The Patsy', 'Fade to Black', 'The Sunshine Boys', 'Comedian']"
5988,Veronika Voss,"['Seventh Heaven', 'Mr. Klein', 'Curse of the Puppet Master', 'Southern Comfort', 'Fool for Love']"
5989,Shoot the Moon,"['The Clock', 'Love Crazy', ""B.F.'s Daughter"", 'Rich and Famous', 'The Man from Down Under']"
5990,Six Pack,"['Days of Thunder', 'Panic', 'Lone Star', 'The Kid Brother', 'Commandments']"
5991,Six Weeks,"['Milk and Honey', 'Dark Days', 'The City', 'Midnight Cowboy', 'Kinjite: Forbidden Subjects']"
5992,The Soldier,"['The Delta Force', 'Live Wire', '9 Deaths of the Ninja', 'The World Is Not Enough', 'The Art of War']"
5993,Some Kind of Hero,"['Distant Thunder', 'Rolling Thunder', 'The Rack', 'Eye of the Tiger', 'A Self-Made Hero']"
5994,The New York Ripper,"['God Told Me To', 'Opera', 'Bad Lieutenant', '10 to Midnight', 'No Way to Treat a Lady']"
5995,The State of Things,"['Intervista', 'The Kentucky Fried Movie', 'The Independent', 'Shadows', 'RKO 281']"
5996,Starstruck,"['A Slipping Down Life', 'Glitter', 'Snow days', 'One Crazy Summer', 'Tender Mercies']"
5997,Still of the Night,"['Oh Heavenly Dog', 'The Big Easy', 'Good Guys Wear Black', 'Novocaine', 'Physical Evidence']"
5998,El Sur,"['Lugares comunes', 'Guantanamera', 'The Crime of Padre Amaro', 'I Love You, I Love You Not', 'Bird of Prey']"
5999,Sword of the Valiant: The Legend of Sir Gawain and the Green Knight,"['Prince Valiant', 'Monty Python and the Holy Grail', 'The Magic Sword', 'For Love and Gold', 'Prince Valiant']"
6000,Tag: The Assassination Game,"['College', 'Blue Chips', 'Happy Together', 'Back to School', 'Lovers and Other Strangers']"
6001,Tempest,"['P.S. Your Cat Is Dead!', 'Panic', 'Strangers When We Meet', 'Dummy', 'Penitentiary II']"
6002,Tenebre,"['Opera', 'Inferno', 'The Toolbox Murders', 'Secret Window', 'Caligula']"
6003,They Call Me Bruce?,"['Get Bruce!', 'Beyond Therapy', 'Tainted', 'Bruce Almighty', ""L'associé""]"
6004,Time Walker,"['Mr. North', 'Inseminoid', 'The Book of Fate', 'The Mummy', ""Class of Nuke 'Em High 2: Subhumanoid Meltdown""]"
6005,Trail of the Pink Panther,"['The Return of the Pink Panther', 'Revenge of the Pink Panther', 'The Pink Panther Strikes Again', 'Blue Streak', 'The Pink Panther']"
6006,La traviata,"['Carmen', 'Otello', 'Carmen Jones', 'The Country Girl', 'The Nomi Song']"
6007,Venom,"['The Delta Force', 'Death Before Dishonor', 'Ransom', 'The Soldier', 'Nighthawks']"
6008,To Begin Again,"['Bird of Prey', 'Guantanamera', 'Lugares comunes', 'The Phone Box', 'Mouth to Mouth']"
6009,Die weisse Rose,"['Soldier of Orange', 'Marathon Man', 'Au Revoir les Enfants', 'Berkeley in the Sixties', ""Hangman's Curse""]"
6010,White Dog,"['Dancing in September', 'Detroit 9000', ""Man's Best Friend"", 'May', 'Black Like Me']"
6011,Who Dares Wins,"['Headless Body in Topless Bar', 'Extreme Ops', 'The Specials', '9 Deaths of the Ninja', 'Maximum Overdrive']"
6012,Wrong Is Right,"['The Way We Were', 'Speechless', 'The Last Hurrah', 'The Manhattan Project', 'Spies Like Us']"
6013,The Road,"['Cross Creek', 'Thomas in Love', 'Tom & Viv', 'Code 46', 'Und keiner weint mir nach']"
6014,"Yor, the Hunter from the Future","['Barbarian Queen II: The Empress Strikes Back', 'The Time Machine', 'Happy Accidents', 'Down to Earth', 'Slaughterhouse-Five']"
6015,Zapped!,"['All About Lily Chou-Chou', 'The Substitute', 'All I Wanna Do', 'Just One of the Guys', 'To Sir, with Love']"
6016,Deliver Us from Eva,"['Among Giants', 'The Girl', 'The Heart of Me', 'Dreaming of Joseph Lees', 'Never Again']"
6017,How to Lose a Guy in 10 Days,"['Love & Sex', 'Starting Over', 'The Umbrella Woman', 'It Had to Be You', 'Pie in the Sky']"
6018,Shanghai Knights,"['Shanghai Noon', 'Stark Raving Mad', 'Kidnapped', 'The Reluctant Astronaut', 'Daddy and Them']"
6019,Daredevil,"['X2', 'X-Men', 'Elektra', 'Death Wish', 'The Shadow']"
6020,The Jungle Book 2,"['Jungle Book', 'The Jungle Book', 'The Jungle Book', 'All the Little Animals', 'The Country Bears']"
6021,All the Real Girls,"['A Slipping Down Life', 'The Unbelievable Truth', 'The Girl', 'Afterglow', 'Ordinary Sinner']"
6022,Amandla! A Revolution in Four-Part Harmony,"[""Long Night's Journey Into Day"", 'D.O.A.', 'Calle 54', 'Cry Freedom', ""It's All True""]"
6023,Painted Fire,"['Panic', 'Rembrandt', 'Commandments', 'The Inheritance', 'Jo Jo Dancer, Your Life Is Calling']"
6024,Gerry,"['Young Black Stallion', 'A Far Off Place', 'Flight of the Phoenix', ""River's Edge"", 'Bully']"
6025,He Loves Me... He Loves Me Not,"['Patch Adams', 'The Doctor', 'Love Is a Many-Splendored Thing', 'I, Madman', 'Century']"
6026,Lockdown,"['Penitentiary II', 'Super Fly', 'The Truman Show', 'The Inheritance', 'The Code']"
6027,Ordinary Sinner,"['Divine Intervention', 'The Girl', 'The Proprietor', 'Slaves of New York', 'Swimming']"
6028,Dennis the Menace,"['The Music Man', 'The Devil and Daniel Webster', 'Eulogy', 'Uncle Nino', 'One Crazy Summer']"
6029,Stand-In,"['Stardust Memories', ""What's New Pussycat?"", 'Nothing in Common', 'Swimming with Sharks', 'S.O.B.']"
6030,10 to Midnight,"['Tightrope', 'Lured', 'Memories of Murder', 'Halloween', 'Se7en']"
6031,The Black Stallion Returns,"['The Black Stallion', 'The Trumpet Of The Swan', 'Black Cloud', 'Benji: Off the Leash!', 'Nicholas Nickleby']"
6032,The Black Stallion,"['National Velvet', 'The Black Stallion Returns', 'Hidalgo', 'Our Hospitality', 'Young Black Stallion']"
6033,Cesar and Rosalie,"['Und keiner weint mir nach', 'Diebinnen', 'French Cancan', 'Punch-Drunk Love', 'Guantanamera']"
6034,A Countess from Hong Kong,"['Snow days', 'Nola', 'Hello, Dolly!', 'All the Vermeers in New York', 'A Smile Like Yours']"
6035,Into the West,"['Gordy', 'The Proprietor', 'Slaves of New York', 'Young Guns', 'Young Black Stallion']"
6036,Kinjite: Forbidden Subjects,"['Shakedown', 'Showtime', 'Cobra', 'The Man Who Knew Too Much', 'Code of Silence']"
6037,Messenger of Death,"['The Big Easy', ""Murphy's Law"", 'The Amateur', 'Buffet Froid', 'The Thin Blue Line']"
6038,Mr. Majestyk,"['Death Wish 4: The Crackdown', 'Johnny Dangerously', 'Point Blank', 'The Taking of Pelham One Two Three', 'Never Die Alone']"
6039,Murphy's Law,"['Secret Window', 'Out for a Kill', 'Striking Distance', 'Penitentiary II', 'Murder on the Orient Express']"
6040,A Patch of Blue,"['At First Sight', 'If You Could See What I Hear', 'Proof', 'The Heavenly Body', '...tick... tick... tick...']"
6041,A Prayer for the Dying,"['Patriot Games', 'The Girl', 'Chronicles', 'Odd Man Out', 'Never Die Alone']"
6042,Q & A,"['Night Falls on Manhattan', 'Prince of the City', 'L.A. Confidential', 'The Big Combo', 'Music Box']"
6043,The Red Badge of Courage,"['Love Me Tender', 'The White Cliffs of Dover', 'Glory', 'Gone with the Wind', 'The Man from Down Under']"
6044,The Thrill of It All,"['The Kentucky Fried Movie', 'Snow days', 'Afterglow', 'Pillow Talk', 'All That Heaven Allows']"
6045,Pillow Talk,"['Snow days', 'Twelfth Night', 'The Umbrella Woman', 'Worth Winning', 'Come September']"
6046,The Man Who Fell to Earth,"['Babylon 5: The River of Souls', 'Contact', 'Cocoon: The Return', 'Shadow of the Vampire', 'What Planet Are You From?']"
6047,Dark Blue,"['Walking Tall', 'Mulholland Falls', 'Desperate Hours', 'Song of the Thin Man', 'Romeo Is Bleeding']"
6048,Gods and Generals,"['Glory', 'Midway', 'A Self-Made Hero', 'House of Fools', 'Enemy at the Gates']"
6049,The Life of David Gale,"['True Crime', 'Resurrection Man', 'A Show of Force', 'Civil Brand', 'In Hell']"
6050,Old School,"[""L'associé"", 'Snow days', 'A Boy Called Hate', 'Vamp', 'All Over the Guy']"
6051,Dischord,"['Song of the South', 'Honeysuckle Rose', 'The Inheritance', 'Raining Stones', 'All the Mornings of the World']"
6052,The Lawless Heart,"['Snow days', 'The Girl', 'The Proprietor', 'Slaves of New York', 'They All Laughed']"
6053,The Navigators,"['Under The Domim Tree', 'The Proprietor', 'Slaves of New York', ""A Gentleman's Game"", 'Cotton Mary']"
6054,Open Hearts,"['Doc Hollywood', 'In the Mood for Love', 'The Dreamlife of Angels', 'His Secret Life', 'Written on the Wind']"
6055,Poolhall Junkies,"['The Hustler', 'The Swimmer', 'Imaginary Crimes', 'Went to Coney Island on a Mission from God... Be Back by Five', 'The Girl']"
6056,Till Human Voices Wake Us,"['Stealing Home', 'Honeysuckle Rose', 'Pursuit of Happiness', 'P.S. Your Cat Is Dead!', 'Nothing in Common']"
6057,Stone Reader,"['Diamonds', 'I, Madman', 'Fear X', 'A Boy Called Hate', ""April Fool's Day""]"
6058,Cradle 2 the Grave,"['Scarface', 'Rififi', 'Saturday Night Fever', 'Return from Witch Mountain', 'Married to the Mob']"
6059,Spider,"['Mirror', 'Honeysuckle Rose', 'P.S. Your Cat Is Dead!', 'The Inheritance', 'Raining Stones']"
6060,American Heart,"['Panic', 'Love the Hard Way', 'Ladder 49', 'Honeysuckle Rose', 'Commandments']"
6061,Edie & Pen,"['The Story of Us', 'Waking Up in Reno', 'Divorce American Style', 'High Society', 'Used People']"
6062,Insignificance,"['I.Q.', 'The Girl from Monday', 'Mr. North', 'The Proprietor', 'Slaves of New York']"
6063,Lady Jane,"['Honeysuckle Rose', 'Kabhi Khushi Kabhie Gham', 'Wilson', 'Hard to Kill', 'The Glass Menagerie']"
6064,Late Marriage,"['The Inheritance', 'Honeysuckle Rose', ""Spencer's Mountain"", 'Nicholas Nickleby', 'Rocket Gibraltar']"
6065,Life Stinks,"['I Love You Again', 'He Who Gets Slapped', 'The Clock', 'The Americanization of Emily', 'Goodbye, Mr. Chips']"
6066,The Meteor Man,"['It Runs in the Family', ""The Courtship of Eddie's Father"", 'Baby: Secret of the Lost Legend', 'Delirious', 'Good Boy!']"
6067,Mr. North,"['Limbo', ""Frank Herbert's Children of Dune"", 'Mumford', 'Home Room', 'Impulse']"
6068,Seize the Day,"['Lost Embrace', 'P.S. Your Cat Is Dead!', 'Vacuuming Completely Nude in Paradise', 'Penitentiary II', 'Commandments']"
6069,The Slaughter Rule,"['A Rumor of Angels', ""L'eclisse"", 'Pastoral Symphony', 'The Hi-Line', 'Charlotte Sometimes']"
6070,Teenagers from Outer Space,"['Pajama Party', 'This Island Earth', 'The Puppet Masters', 'They Bite', 'Devil Girl from Mars']"
6071,Trouble Bound,"['The Streetfighter', 'The Visit', 'Penitentiary II', 'Benji: Off the Leash!', 'I Stand Alone']"
6072,Volcano High,"['All About Lily Chou-Chou', 'The Substitute', 'Late Bloomers', 'The Perfect Score', 'Zapped!']"
6073,Ten,"['Und keiner weint mir nach', 'Diebinnen', 'The Circle', 'The Hard Way', 'The Apple']"
6074,Bringing Down the House,"['Trial and Error', 'Strange Cargo', ""We're No Angels"", 'Bang, Boom, Bang', 'Condition Red']"
6075,Tears of the Sun,"['They All Laughed', 'Better Housekeeping', 'Shenandoah', 'Zone 39', 'Behind Enemy Lines']"
6076,Irreversible,"['Baise-moi', 'Humanité', 'La balance', 'Lipstick', 'Foxy Brown']"
6077,Laurel Canyon,"['I Am Sam', 'Maybe Baby', 'Josh and S.A.M.', 'Feeling Minnesota', 'North to Alaska']"
6078,Nowhere in Africa,"['Hester Street', 'Shanghai Ghetto', 'Eat a Bowl of Tea', 'The Grapes of Wrath', 'The River']"
6079,The Safety of Objects,"['The Adventures of the Wilderness Family', 'Max Dugan Returns', 'Rat', 'Julien Donkey-Boy', 'Nicholas Nickleby']"
6080,Bend It Like Beckham,"['House II: The Second Story', 'Mississippi Masala', 'Backbeat', 'Cosi', 'The Fabulous Baker Boys']"
6081,The Hunted,"['Lockdown', 'Nothing to Lose', 'Panic', 'The Firm', 'City By The Sea']"
6082,Willard,"['Joe the King', 'Long Live Death', 'The Beastmaster', 'Rolling Thunder', 'The Mudge Boy']"
6083,Gaudi Afternoon,"['Daisy Miller', 'Ruggles of Red Gap', 'Canadian Bacon', 'The Innocent', 'Starstruck']"
6084,Prozac Nation,"['Fool for Love', 'Real Women Have Curves', 'To Have (Or Not)', 'Raising Helen', 'The Proprietor']"
6085,Spun,"['College', 'Sex & the Other Man', 'Went to Coney Island on a Mission from God... Be Back by Five', 'A Rumor of Angels', 'Morvern Callar']"
6086,Under the Skin of the City,"['Character', 'Winter Solstice', 'Next of Kin', 'The Keys to the House', 'A Time for Drunken Horses']"
6087,King of Kings,"['The Greatest Story Ever Told', 'It Runs in the Family', 'Lust for Life', 'The Great Ziegfeld', 'The Thin Man Goes Home']"
6088,The Lost Honor of Katharina Blum,"['Le Petit Soldat', 'The Delta Force', 'That Obscure Object of Desire', 'The Legend of Rita', 'Honeymoon']"
6089,Loving You,"['Purple Rain', 'The Idolmaker', 'The Crazy Stranger', 'The Boys from County Clare', 'Things Behind the Sun']"
6090,The Talk of the Town,"['Deathtrap', 'The Girl', 'The Paper Chase', 'Red Corner', 'The Life of David Gale']"
6091,Two-Lane Blacktop,"['Moment by Moment', 'Iron Will', 'Went to Coney Island on a Mission from God... Be Back by Five', 'Mesmerized', 'The Grass Harp']"
6092,Bang the Drum Slowly,"['Honeysuckle Rose', 'P.S. Your Cat Is Dead!', 'How to Get Ahead in Advertising', 'Stealing Home', 'A New Leaf']"
6093,The Benny Goodman Story,"['Intervista', 'Defying Gravity', 'Shadows', 'The Whales of August', 'A Brief History of Time']"
6094,Born Free,"['Shadows', 'Never Met Picasso', 'The Kentucky Fried Movie', 'In Search of the Castaways', 'The Independent']"
6095,Born Yesterday,"['Past Midnight', 'Puddle Cruiser', 'The Low Down', 'The Front Page', 'American Gigolo']"
6096,Equus,"['The Rocking Horse Winner', 'Shoeshine', 'The Black Stallion', 'A Rumor of Angels', 'National Velvet']"
6097,Europa Europa,"[""Schindler's List"", 'The Damned', 'The Diary of Anne Frank', 'Comedian Harmonists', 'To Hell and Back']"
6098,Fear Strikes Out,"['Talent for the Game', 'The Proprietor', 'Slaves of New York', 'Und keiner weint mir nach', 'Diebinnen']"
6099,The Glenn Miller Story,"['The Eddy Duchin Story', 'The Proprietor', 'Slaves of New York', ""Coal Miner's Daughter"", 'Star!']"
6100,Green Card,"['The City', 'Impromptu', 'Out Cold', 'A Price Above Rubies', 'Next Stop Wonderland']"
6101,Journey to the Center of the Earth,"['The Lost World', 'Dinosaur', 'Chitty Chitty Bang Bang', ""We're Back! A Dinosaur's Story"", 'The People That Time Forgot']"
6102,One Good Cop,"['Harry and Tonto', 'The Inheritance', 'Rocket Gibraltar', 'Carried Away', 'Honeysuckle Rose']"
6103,Pauline at the Beach,"['Wings of Courage', 'Summer with Monika', ""A Summer's Tale"", 'Guantanamera', 'Happenstance']"
6104,Ringu,"['Book of Shadows: Blair Witch 2', 'The Ring', 'Audition', 'One Missed Call', 'Flatliners']"
6105,Ringu 2,"['The Grudge', 'The Ring', 'Spiral', 'Ju-on: The Curse', ""Say It Isn't So""]"
6106,Salaam Bombay!,"['Und keiner weint mir nach', 'Diebinnen', 'Cyclo', 'Bird of Prey', 'How I Killed My Father']"
6107,Sweet Charity,"['Snow days', 'Afterglow', 'The Girl', 'Leather Jacket Love Story', 'About Last Night...']"
6108,Talent for the Game,"['The Babe', 'Ed', 'Stealing Home', ""The Slugger's Wife"", 'Benji: Off the Leash!']"
6109,Women in Love,"['A Summer Place', 'The Girl', 'Seeing Other People', 'The Passion of Ayn Rand', 'When Will I Be Loved']"
6110,Japón,"['Under The Domim Tree', 'Guantanamera', 'Cry, the Beloved Country', 'Bird of Prey', 'The Three Marias']"
6111,Boat Trip,"['The Broken Hearts Club: A Romantic Comedy', 'The Gay Deceivers', 'I Think I Do', 'The Opposite of Sex', 'Maybe... Maybe Not']"
6112,Dreamcatcher,"['Communion', 'Inseminoid', 'The Boys from Brazil', 'Alien Nation', 'Flatliners']"
6113,Piglet's Big Movie,"['The Tigger Movie', ""Pooh's Heffalump Movie"", 'Winnie the Pooh and the Blustery Day', 'The Secret Adventures of Tom Thumb', 'Creature Comforts']"
6114,View from the Top,"['Snow days', 'College', 'Jackie Brown', 'If You Only Knew', 'Fool for Love']"
6115,Down & Out With The Dolls,"['The Rutles: All You Need Is Cash', 'A Long Hot Summer', 'Prey for Rock & Roll', 'The Boys from County Clare', ""L'associé""]"
6116,The Awful Truth,"['Snow days', 'Petulia', 'Manhattan', 'The Girl', 'A Summer Place']"
6117,The Bible: In the Beginning...,"['The Proprietor', 'Slaves of New York', 'The Green Pastures', 'People Will Talk', 'Und keiner weint mir nach']"
6118,The House with Laughing Windows,"['Ivan the Terrible, Part I', 'Artemisia', 'Carbine Williams', 'The Bloody Child', 'Owning Mahowny']"
6119,I Am Curious (Yellow),"['The Last Hurrah', 'Intervista', 'The Wonderful, Horrible Life of Leni Riefenstahl', 'Inside Deep Throat', 'The State of Things']"
6120,Les Dames du Bois de Boulogne,"['Vivre Sa Vie', 'The Naked Kiss', 'The Man Who Loved Women', 'Whore', 'Wings of Courage']"
6121,My Friend Flicka,"['The Inheritance', 'Honeysuckle Rose', 'Raining Stones', 'Blank Check', 'The Story of the Last Chrysanthemum']"
6122,The Robe,"['Jesus Christ Superstar', 'The Last Temptation of Christ', 'Barabbas', 'The Book of Life', 'The Proprietor']"
